dx_cd,icd_code,icd_type,icd_desc
Q7031,Q70.31,2.0,"WEBBED TOES, RIGHT FOOT"
R939,R93.9,2.0,DIAGNOSTIC IMAGING INCONCLUSIVE DUE TO EXCESS BODY FAT OF PATIENT
S0000XS,S00.00XS,2.0,"UNSPECIFIED SUPERFICIAL INJURY OF SCALP, SEQUELA"
S0010XA,S00.10XA,2.0,"CONTUSION OF UNSPECIFIED EYELID AND PERIOCULAR AREA, INITIAL ENCOUNTER"
S01332D,S01.332D,2.0,"PUNCTURE WOUND WITHOUT FOREIGN BODY OF LEFT EAR, SUBSEQUENT ENCOUNTER"
E9248,E924.8,1.0,ACCIDENT CAUSED BY OTHER HOT SUBSTANCE OR OBJECT
F11281,F11.281,2.0,OPIOID DEPENDENCE WITH OPIOID-INDUCED SEXUAL DYSFUNCTION
G009,G00.9,2.0,"BACTERIAL MENINGITIS, UNSPECIFIED"
1111,111.1,1.0,TINEA NIGRA
2081,208.1,1.0,"LEUKEMIA OF UNSPECIFIED CELL TYPE, CHRONIC"
S42254K,S42.254K,2.0,"NONDISPLACED FRACTURE OF GREATER TUBEROSITY OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION"
S42355S,S42.355S,2.0,"NONDISPLACED COMMINUTED FRACTURE OF SHAFT OF HUMERUS, LEFT ARM, SEQUELA"
S42414D,S42.414D,2.0,"NONDISPLACED SIMPLE SUPRACONDYLAR FRACTURE WITHOUT INTERCONDYLAR FRACTURE OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S42475A,S42.475A,2.0,"NONDISPLACED TRANSCONDYLAR FRACTURE OF LEFT HUMERUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S43421S,S43.421S,2.0,"SPRAIN OF RIGHT ROTATOR CUFF CAPSULE, SEQUELA"
S46001D,S46.001D,2.0,"UNSPECIFIED INJURY OF MUSCLE(S) AND TENDON(S) OF THE ROTATOR CUFF OF RIGHT SHOULDER, SUBSEQUENT ENCOUNTER"
S022XXD,S02.2XXD,2.0,"FRACTURE OF NASAL BONES, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S065X0D,S06.5X0D,2.0,"TRAUMATIC SUBDURAL HEMORRHAGE WITHOUT LOSS OF CONSCIOUSNESS, SUBSEQUENT ENCOUNTER"
S069X6D,S06.9X6D,2.0,"UNSPECIFIED INTRACRANIAL INJURY WITH LOSS OF CONSCIOUSNESS GREATER THAN 24 HOURS WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL WITH PATIENT SURVIVING, SUBSEQUENT ENCOUNTER"
S12000A,S12.000A,2.0,"UNSPECIFIED DISPLACED FRACTURE OF FIRST CERVICAL VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S20221A,S20.221A,2.0,"CONTUSION OF RIGHT BACK WALL OF THORAX, INITIAL ENCOUNTER"
S22060D,S22.060D,2.0,"WEDGE COMPRESSION FRACTURE OF T7-T8 VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S22088D,S22.088D,2.0,"OTHER FRACTURE OF T11-T12 VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
7614,761.4,1.0,ECTOPIC PREGNANCY AFFECTING FETUS OR NEWBORN
7875,787.5,1.0,ABNORMAL BOWEL SOUNDS
80629,806.29,1.0,CLOSED FRACTURE OF T7-T12 LEVEL WITH OTHER SPECIFIED SPINAL CORD INJURY
E9285,E928.5,1.0,EXTERNAL CONSTRICTION CAUSED BY OTHER OBJECT
E9488,E948.8,1.0,OTHER AND UNSPECIFIED BACTERIAL VACCINES CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE
F66,F66,2.0,OTHER SEXUAL DISORDERS
G4769,G47.69,2.0,OTHER SLEEP RELATED MOVEMENT DISORDERS
G5681,G56.81,2.0,OTHER SPECIFIED MONONEUROPATHIES OF RIGHT UPPER LIMB
S82241B,S82.241B,2.0,"DISPLACED SPIRAL FRACTURE OF SHAFT OF RIGHT TIBIA, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II"
S82402N,S82.402N,2.0,"UNSPECIFIED FRACTURE OF SHAFT OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC WITH NONUNION"
I9742,I97.42,2.0,INTRAOPERATIVE HEMORRHAGE AND HEMATOMA OF A CIRCULATORY SYSTEM ORGAN OR STRUCTURE COMPLICATING OTHER PROCEDURE
L250,L25.0,2.0,UNSPECIFIED CONTACT DERMATITIS DUE TO COSMETICS
L508,L50.8,2.0,OTHER URTICARIA
L701,L70.1,2.0,ACNE CONGLOBATA
N3281,N32.81,2.0,OVERACTIVE BLADDER
N804,N80.4,2.0,ENDOMETRIOSIS OF RECTOVAGINAL SEPTUM AND VAGINA
O032,O03.2,2.0,EMBOLISM FOLLOWING INCOMPLETE SPONTANEOUS ABORTION
O210,O21.0,2.0,MILD HYPEREMESIS GRAVIDARUM
O402XX0,O40.2XX0,2.0,"POLYHYDRAMNIOS, SECOND TRIMESTER, NOT APPLICABLE OR UNSPECIFIED"
O9A212,O9A.212,2.0,"INJURY, POISONING AND CERTAIN OTHER CONSEQUENCES OF EXTERNAL CAUSES COMPLICATING PREGNANCY, SECOND TRIMESTER"
P049,P04.9,2.0,"NEWBORN AFFECTED BY MATERNAL NOXIOUS SUBSTANCE, UNSPECIFIED"
N711,N71.1,2.0,CHRONIC INFLAMMATORY DISEASE OF UTERUS
N810,N81.0,2.0,URETHROCELE
N99520,N99.520,2.0,HEMORRHAGE OF INCONTINENT EXTERNAL STOMA OF URINARY TRACT
O334XX0,O33.4XX0,2.0,"MATERNAL CARE FOR DISPROPORTION OF MIXED MATERNAL AND FETAL ORIGIN, NOT APPLICABLE OR UNSPECIFIED"
O3403,O34.03,2.0,"MATERNAL CARE FOR UNSPECIFIED CONGENITAL MALFORMATION OF UTERUS, THIRD TRIMESTER"
O623,O62.3,2.0,PRECIPITATE LABOR
O99344,O99.344,2.0,OTHER MENTAL DISORDERS COMPLICATING CHILDBIRTH
S9304XA,S93.04XA,2.0,"DISLOCATION OF RIGHT ANKLE JOINT, INITIAL ENCOUNTER"
H11423,H11.423,2.0,"CONJUNCTIVAL EDEMA, BILATERAL"
H16202,H16.202,2.0,"UNSPECIFIED KERATOCONJUNCTIVITIS, LEFT EYE"
H35369,H35.369,2.0,"DRUSEN (DEGENERATIVE) OF MACULA, UNSPECIFIED EYE"
S83231D,S83.231D,2.0,"COMPLEX TEAR OF MEDIAL MENISCUS, CURRENT INJURY, RIGHT KNEE, SUBSEQUENT ENCOUNTER"
S83272D,S83.272D,2.0,"COMPLEX TEAR OF LATERAL MENISCUS, CURRENT INJURY, LEFT KNEE, SUBSEQUENT ENCOUNTER"
S8781XD,S87.81XD,2.0,"CRUSHING INJURY OF RIGHT LOWER LEG, SUBSEQUENT ENCOUNTER"
S8782XS,S87.82XS,2.0,"CRUSHING INJURY OF LEFT LOWER LEG, SEQUELA"
S91209S,S91.209S,2.0,"UNSPECIFIED OPEN WOUND OF UNSPECIFIED TOE(S) WITH DAMAGE TO NAIL, SEQUELA"
L851,L85.1,2.0,ACQUIRED KERATOSIS [KERATODERMA] PALMARIS ET PLANTARIS
L97403,L97.403,2.0,NON-PRESSURE CHRONIC ULCER OF UNSPECIFIED HEEL AND MIDFOOT WITH NECROSIS OF MUSCLE
L97419,L97.419,2.0,NON-PRESSURE CHRONIC ULCER OF RIGHT HEEL AND MIDFOOT WITH UNSPECIFIED SEVERITY
L97904,L97.904,2.0,NON-PRESSURE CHRONIC ULCER OF UNSPECIFIED PART OF UNSPECIFIED LOWER LEG WITH NECROSIS OF BONE
M01X62,M01.X62,2.0,DIRECT INFECTION OF LEFT KNEE IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE
T22239A,T22.239A,2.0,"BURN OF SECOND DEGREE OF UNSPECIFIED UPPER ARM, INITIAL ENCOUNTER"
T23602A,T23.602A,2.0,"CORROSION OF SECOND DEGREE OF LEFT HAND, UNSPECIFIED SITE, INITIAL ENCOUNTER"
T25221S,T25.221S,2.0,"BURN OF SECOND DEGREE OF RIGHT FOOT, SEQUELA"
T38805A,T38.805A,2.0,"ADVERSE EFFECT OF UNSPECIFIED HORMONES AND SYNTHETIC SUBSTITUTES, INITIAL ENCOUNTER"
T450X4A,T45.0X4A,2.0,"POISONING BY ANTIALLERGIC AND ANTIEMETIC DRUGS, UNDETERMINED, INITIAL ENCOUNTER"
T500X3A,T50.0X3A,2.0,"POISONING BY MINERALOCORTICOIDS AND THEIR ANTAGONISTS, ASSAULT, INITIAL ENCOUNTER"
T50B95A,T50.B95A,2.0,"ADVERSE EFFECT OF OTHER VIRAL VACCINES, INITIAL ENCOUNTER"
T542X1A,T54.2X1A,2.0,"TOXIC EFFECT OF CORROSIVE ACIDS AND ACID-LIKE SUBSTANCES, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER"
T543X1A,T54.3X1A,2.0,"TOXIC EFFECT OF CORROSIVE ALKALIS AND ALKALI-LIKE SUBSTANCES, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER"
Q224,Q22.4,2.0,CONGENITAL TRICUSPID STENOSIS
Q649,Q64.9,2.0,"CONGENITAL MALFORMATION OF URINARY SYSTEM, UNSPECIFIED"
R400,R40.0,2.0,SOMNOLENCE
R41843,R41.843,2.0,PSYCHOMOTOR DEFICIT
S0003XD,S00.03XD,2.0,"CONTUSION OF SCALP, SUBSEQUENT ENCOUNTER"
S0006XA,S00.06XA,2.0,"INSECT BITE (NONVENOMOUS) OF SCALP, INITIAL ENCOUNTER"
S00462A,S00.462A,2.0,"INSECT BITE (NONVENOMOUS) OF LEFT EAR, INITIAL ENCOUNTER"
R710,R71.0,2.0,PRECIPITOUS DROP IN HEMATOCRIT
S00202S,S00.202S,2.0,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT EYELID AND PERIOCULAR AREA, SEQUELA"
S00412D,S00.412D,2.0,"ABRASION OF LEFT EAR, SUBSEQUENT ENCOUNTER"
S00511S,S00.511S,2.0,"ABRASION OF LIP, SEQUELA"
E340,E34.0,2.0,CARCINOID SYNDROME
E619,E61.9,2.0,"DEFICIENCY OF NUTRIENT ELEMENT, UNSPECIFIED"
F1219,F12.19,2.0,CANNABIS ABUSE WITH UNSPECIFIED CANNABIS-INDUCED DISORDER
0049,004.9,1.0,"SHIGELLOSIS, UNSPECIFIED"
01180,011.80,1.0,"OTHER SPECIFIED PULMONARY TUBERCULOSIS, UNSPECIFIED"
07022,070.22,1.0,CHRONIC VIRAL HEPATITIS B WITH HEPATIC COMA WITHOUT HEPATITIS DELTA
08249,082.49,1.0,OTHER EHRLICHIOSIS
13100,131.00,1.0,"UROGENITAL TRICHOMONIASIS, UNSPECIFIED"
1480,148.0,1.0,MALIGNANT NEOPLASM OF POSTCRICOID REGION OF HYPOPHARYNX
1658,165.8,1.0,MALIGNANT NEOPLASM OF OTHER SITES WITHIN THE RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS
1908,190.8,1.0,MALIGNANT NEOPLASM OF OTHER SPECIFIED SITES OF EYE
2149,214.9,1.0,"LIPOMA, UNSPECIFIED SITE"
S42018A,S42.018A,2.0,"NONDISPLACED FRACTURE OF STERNAL END OF LEFT CLAVICLE, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S42022G,S42.022G,2.0,"DISPLACED FRACTURE OF SHAFT OF LEFT CLAVICLE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING"
S42213A,S42.213A,2.0,"UNSPECIFIED DISPLACED FRACTURE OF SURGICAL NECK OF UNSPECIFIED HUMERUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S42401K,S42.401K,2.0,"UNSPECIFIED FRACTURE OF LOWER END OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION"
S0502XD,S05.02XD,2.0,"INJURY OF CONJUNCTIVA AND CORNEAL ABRASION WITHOUT FOREIGN BODY, LEFT EYE, SUBSEQUENT ENCOUNTER"
S0592XS,S05.92XS,2.0,"UNSPECIFIED INJURY OF LEFT EYE AND ORBIT, SEQUELA"
S062X0D,S06.2X0D,2.0,"DIFFUSE TRAUMATIC BRAIN INJURY WITHOUT LOSS OF CONSCIOUSNESS, SUBSEQUENT ENCOUNTER"
S2001XD,S20.01XD,2.0,"CONTUSION OF RIGHT BREAST, SUBSEQUENT ENCOUNTER"
S22078D,S22.078D,2.0,"OTHER FRACTURE OF T9-T10 VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
T6104XA,T61.04XA,2.0,"CIGUATERA FISH POISONING, UNDETERMINED, INITIAL ENCOUNTER"
7202,720.2,1.0,"SACROILIITIS, NOT ELSEWHERE CLASSIFIED"
72630,726.30,1.0,"ENTHESOPATHY OF ELBOW, UNSPECIFIED"
78191,781.91,1.0,LOSS OF HEIGHT
8190,819.0,1.0,"MULTIPLE CLOSED FRACTURES INVOLVING BOTH UPPER LIMBS, AND UPPER LIMB WITH RIB(S) AND STERNUM"
G463,G46.3,2.0,BRAIN STEM STROKE SYNDROME
G580,G58.0,2.0,INTERCOSTAL NEUROPATHY
G7100,G71.00,2.0,"MUSCULAR DYSTROPHY, UNSPECIFIED"
G803,G80.3,2.0,ATHETOID CEREBRAL PALSY
H0266,H02.66,2.0,"XANTHELASMA OF LEFT EYE, UNSPECIFIED EYELID"
H02844,H02.844,2.0,EDEMA OF LEFT UPPER EYELID
2463,246.3,1.0,HEMORRHAGE AND INFARCTION OF THYROID
E9359,E935.9,1.0,UNSPECIFIED ANALGESIC AND ANTIPYRETIC CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE
E9809,E980.9,1.0,"POISONING BY OTHER AND UNSPECIFIED SOLID AND LIQUID SUBSTANCES, UNDETERMINED WHETHER ACCIDENTALLY OR PURPOSELY INFLICTED"
G3183,G31.83,2.0,NEUROCOGNITIVE DISORDER WITH LEWY BODIES
G40A01,G40.A01,2.0,"ABSENCE EPILEPTIC SYNDROME, NOT INTRACTABLE, WITH STATUS EPILEPTICUS"
S8002XS,S80.02XS,2.0,"CONTUSION OF LEFT KNEE, SEQUELA"
S82145E,S82.145E,2.0,"NONDISPLACED BICONDYLAR FRACTURE OF LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH ROUTINE HEALING"
S82231D,S82.231D,2.0,"DISPLACED OBLIQUE FRACTURE OF SHAFT OF RIGHT TIBIA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S82842G,S82.842G,2.0,"DISPLACED BIMALLEOLAR FRACTURE OF LEFT LOWER LEG, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH DELAYED HEALING"
I87032,I87.032,2.0,POSTTHROMBOTIC SYNDROME WITH ULCER AND INFLAMMATION OF LEFT LOWER EXTREMITY
I888,I88.8,2.0,OTHER NONSPECIFIC LYMPHADENITIS
K598,K59.8,2.0,OTHER SPECIFIED FUNCTIONAL INTESTINAL DISORDERS
K8020,K80.20,2.0,CALCULUS OF GALLBLADDER WITHOUT CHOLECYSTITIS WITHOUT OBSTRUCTION
K8071,K80.71,2.0,CALCULUS OF GALLBLADDER AND BILE DUCT WITHOUT CHOLECYSTITIS WITH OBSTRUCTION
L02239,L02.239,2.0,"CARBUNCLE OF TRUNK, UNSPECIFIED"
L02415,L02.415,2.0,CUTANEOUS ABSCESS OF RIGHT LOWER LIMB
L432,L43.2,2.0,LICHENOID DRUG REACTION
L664,L66.4,2.0,FOLLICULITIS ULERYTHEMATOSA RETICULATA
L702,L70.2,2.0,ACNE VARIOLIFORMIS
N35014,N35.014,2.0,"POST-TRAUMATIC URETHRAL STRICTURE, MALE, UNSPECIFIED"
N6002,N60.02,2.0,SOLITARY CYST OF LEFT BREAST
N7092,N70.92,2.0,"OOPHORITIS, UNSPECIFIED"
N8300,N83.00,2.0,"FOLLICULAR CYST OF OVARY, UNSPECIFIED SIDE"
O1213,O12.13,2.0,"GESTATIONAL PROTEINURIA, THIRD TRIMESTER"
O211,O21.1,2.0,HYPEREMESIS GRAVIDARUM WITH METABOLIC DISTURBANCE
O360921,O36.0921,2.0,"MATERNAL CARE FOR OTHER RHESUS ISOIMMUNIZATION, SECOND TRIMESTER, FETUS 1"
O364XX0,O36.4XX0,2.0,"MATERNAL CARE FOR INTRAUTERINE DEATH, NOT APPLICABLE OR UNSPECIFIED"
O4692,O46.92,2.0,"ANTEPARTUM HEMORRHAGE, UNSPECIFIED, SECOND TRIMESTER"
N6032,N60.32,2.0,FIBROSCLEROSIS OF LEFT BREAST
N8331,N83.31,2.0,ACQUIRED ATROPHY OF OVARY
N980,N98.0,2.0,INFECTION ASSOCIATED WITH ARTIFICIAL INSEMINATION
N99114,N99.114,2.0,"POSTPROCEDURAL URETHRAL STRICTURE, MALE, UNSPECIFIED"
O1494,O14.94,2.0,"UNSPECIFIED PRE-ECLAMPSIA, COMPLICATING CHILDBIRTH"
S92514A,S92.514A,2.0,"NONDISPLACED FRACTURE OF PROXIMAL PHALANX OF RIGHT LESSER TOE(S), INITIAL ENCOUNTER FOR CLOSED FRACTURE"
T194XXA,T19.4XXA,2.0,"FOREIGN BODY IN PENIS, INITIAL ENCOUNTER"
T2027XA,T20.27XA,2.0,"BURN OF SECOND DEGREE OF NECK, INITIAL ENCOUNTER"
G9589,G95.89,2.0,OTHER SPECIFIED DISEASES OF SPINAL CORD
H02215,H02.215,2.0,CICATRICIAL LAGOPHTHALMOS LEFT LOWER EYELID
H04202,H04.202,2.0,"UNSPECIFIED EPIPHORA, LEFT SIDE"
H04303,H04.303,2.0,UNSPECIFIED DACRYOCYSTITIS OF BILATERAL LACRIMAL PASSAGES
H04819,H04.819,2.0,GRANULOMA OF UNSPECIFIED LACRIMAL PASSAGE
H16201,H16.201,2.0,"UNSPECIFIED KERATOCONJUNCTIVITIS, RIGHT EYE"
H1830,H18.30,2.0,UNSPECIFIED CORNEAL MEMBRANE CHANGE
H25033,H25.033,2.0,"ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT, BILATERAL"
H3020,H30.20,2.0,"POSTERIOR CYCLITIS, UNSPECIFIED EYE"
S83249D,S83.249D,2.0,"OTHER TEAR OF MEDIAL MENISCUS, CURRENT INJURY, UNSPECIFIED KNEE, SUBSEQUENT ENCOUNTER"
S83289S,S83.289S,2.0,"OTHER TEAR OF LATERAL MENISCUS, CURRENT INJURY, UNSPECIFIED KNEE, SEQUELA"
S8391XA,S83.91XA,2.0,"SPRAIN OF UNSPECIFIED SITE OF RIGHT KNEE, INITIAL ENCOUNTER"
S86922A,S86.922A,2.0,"LACERATION OF UNSPECIFIED MUSCLE(S) AND TENDON(S) AT LOWER LEG LEVEL, LEFT LEG, INITIAL ENCOUNTER"
S90935A,S90.935A,2.0,"UNSPECIFIED SUPERFICIAL INJURY OF LEFT LESSER TOE(S), INITIAL ENCOUNTER"
L910,L91.0,2.0,HYPERTROPHIC SCAR
L97413,L97.413,2.0,NON-PRESSURE CHRONIC ULCER OF RIGHT HEEL AND MIDFOOT WITH NECROSIS OF MUSCLE
M10071,M10.071,2.0,"IDIOPATHIC GOUT, RIGHT ANKLE AND FOOT"
M11269,M11.269,2.0,"OTHER CHONDROCALCINOSIS, UNSPECIFIED KNEE"
M19212,M19.212,2.0,"SECONDARY OSTEOARTHRITIS, LEFT SHOULDER"
M1A4610,M1A.4610,2.0,"OTHER SECONDARY CHRONIC GOUT, RIGHT KNEE, WITHOUT TOPHUS (TOPHI)"
T24209A,T24.209A,2.0,"BURN OF SECOND DEGREE OF UNSPECIFIED SITE OF UNSPECIFIED LOWER LIMB, EXCEPT ANKLE AND FOOT, INITIAL ENCOUNTER"
T464X5S,T46.4X5S,2.0,"ADVERSE EFFECT OF ANGIOTENSIN-CONVERTING-ENZYME INHIBITORS, SEQUELA"
Q459,Q45.9,2.0,"CONGENITAL MALFORMATION OF DIGESTIVE SYSTEM, UNSPECIFIED"
Q627,Q62.7,2.0,CONGENITAL VESICO-URETERO-RENAL REFLUX
R061,R06.1,2.0,STRIDOR
R682,R68.2,2.0,"DRY MOUTH, UNSPECIFIED"
R87613,R87.613,2.0,HIGH GRADE SQUAMOUS INTRAEPITHELIAL LESION ON CYTOLOGIC SMEAR OF CERVIX (HGSIL)
S0086XD,S00.86XD,2.0,"INSECT BITE (NONVENOMOUS) OF OTHER PART OF HEAD, SUBSEQUENT ENCOUNTER"
P290,P29.0,2.0,NEONATAL CARDIAC FAILURE
P9160,P91.60,2.0,"HYPOXIC ISCHEMIC ENCEPHALOPATHY [HIE], UNSPECIFIED"
Q5001,Q50.01,2.0,"CONGENITAL ABSENCE OF OVARY, UNILATERAL"
Q6431,Q64.31,2.0,CONGENITAL BLADDER NECK OBSTRUCTION
Q7131,Q71.31,2.0,CONGENITAL ABSENCE OF RIGHT HAND AND FINGER
Q793,Q79.3,2.0,GASTROSCHISIS
Q821,Q82.1,2.0,XERODERMA PIGMENTOSUM
R599,R59.9,2.0,"ENLARGED LYMPH NODES, UNSPECIFIED"
R627,R62.7,2.0,ADULT FAILURE TO THRIVE
E272,E27.2,2.0,ADDISONIAN CRISIS
E507,E50.7,2.0,OTHER OCULAR MANIFESTATIONS OF VITAMIN A DEFICIENCY
E569,E56.9,2.0,"VITAMIN DEFICIENCY, UNSPECIFIED"
E730,E73.0,2.0,CONGENITAL LACTASE DEFICIENCY
E7402,E74.02,2.0,POMPE DISEASE
E7601,E76.01,2.0,HURLER'S SYNDROME
E8796,E879.6,1.0,"URINARY CATHETERIZATION AS THE CAUSE OF ABNORMAL REACTION OF PATIENT, OR OF LATER COMPLICATION, WITHOUT MENTION OF MISADVENTURE AT TIME OF PROCEDURE"
F19239,F19.239,2.0,"OTHER PSYCHOACTIVE SUBSTANCE DEPENDENCE WITH WITHDRAWAL, UNSPECIFIED"
G40814,G40.814,2.0,"LENNOX-GASTAUT SYNDROME, INTRACTABLE, WITHOUT STATUS EPILEPTICUS"
0330,033.0,1.0,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS (B. PERTUSSIS)
11505,115.05,1.0,HISTOPLASMA CAPSULATUM PNEUMONIA
1203,120.3,1.0,CUTANEOUS SCHISTOSOMIASIS
1505,150.5,1.0,MALIGNANT NEOPLASM OF LOWER THIRD OF ESOPHAGUS
20036,200.36,1.0,"MARGINAL ZONE LYMPHOMA, INTRAPELVIC LYMPH NODES"
20215,202.15,1.0,MYCOSIS FUNGOIDES INVOLVING LYMPH NODES OF INGUINAL REGION AND LOWER LIMB
20293,202.93,1.0,OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS OF LYMPHOID AND HISTIOCYTIC TISSUE INVOLVING INTRA-ABDOMINAL LYMPH NODES
S4491XA,S44.91XA,2.0,"INJURY OF UNSPECIFIED NERVE AT SHOULDER AND UPPER ARM LEVEL, RIGHT ARM, INITIAL ENCOUNTER"
S058X1S,S05.8X1S,2.0,"OTHER INJURIES OF RIGHT EYE AND ORBIT, SEQUELA"
S12121S,S12.121S,2.0,"OTHER NONDISPLACED DENS FRACTURE, SEQUELA"
S2241XD,S22.41XD,2.0,"MULTIPLE FRACTURES OF RIBS, RIGHT SIDE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
71895,718.95,1.0,UNSPECIFIED DERANGEMENT OF JOINT OF PELVIC REGION AND THIGH
7504,750.4,1.0,OTHER SPECIFIED CONGENITAL ANOMALIES OF ESOPHAGUS
75673,756.73,1.0,GASTROSCHISIS
769,769,1.0,RESPIRATORY DISTRESS SYNDROME IN NEWBORN
7714,771.4,1.0,OMPHALITIS OF THE NEWBORN
S86901D,S86.901D,2.0,"UNSPECIFIED INJURY OF UNSPECIFIED MUSCLE(S) AND TENDON(S) AT LOWER LEG LEVEL, RIGHT LEG, SUBSEQUENT ENCOUNTER"
S91142A,S91.142A,2.0,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT GREAT TOE WITHOUT DAMAGE TO NAIL, INITIAL ENCOUNTER"
S91349A,S91.349A,2.0,"PUNCTURE WOUND WITH FOREIGN BODY, UNSPECIFIED FOOT, INITIAL ENCOUNTER"
S52222D,S52.222D,2.0,"DISPLACED TRANSVERSE FRACTURE OF SHAFT OF LEFT ULNA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S52352A,S52.352A,2.0,"DISPLACED COMMINUTED FRACTURE OF SHAFT OF RADIUS, LEFT ARM, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S52559S,S52.559S,2.0,"OTHER EXTRAARTICULAR FRACTURE OF LOWER END OF UNSPECIFIED RADIUS, SEQUELA"
S0512XD,S05.12XD,2.0,"CONTUSION OF EYEBALL AND ORBITAL TISSUES, LEFT EYE, SUBSEQUENT ENCOUNTER"
S12501A,S12.501A,2.0,"UNSPECIFIED NONDISPLACED FRACTURE OF SIXTH CERVICAL VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S128XXD,S12.8XXD,2.0,"FRACTURE OF OTHER PARTS OF NECK, SUBSEQUENT ENCOUNTER"
S72145G,S72.145G,2.0,"NONDISPLACED INTERTROCHANTERIC FRACTURE OF LEFT FEMUR, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH DELAYED HEALING"
S72453D,S72.453D,2.0,"DISPLACED SUPRACONDYLAR FRACTURE WITHOUT INTRACONDYLAR EXTENSION OF LOWER END OF UNSPECIFIED FEMUR, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S75001S,S75.001S,2.0,"UNSPECIFIED INJURY OF FEMORAL ARTERY, RIGHT LEG, SEQUELA"
S76191A,S76.191A,2.0,"OTHER SPECIFIED INJURY OF RIGHT QUADRICEPS MUSCLE, FASCIA AND TENDON, INITIAL ENCOUNTER"
I951,I95.1,2.0,ORTHOSTATIC HYPOTENSION
J82,J82,2.0,"PULMONARY EOSINOPHILIA, NOT ELSEWHERE CLASSIFIED"
K5751,K57.51,2.0,DIVERTICULOSIS OF BOTH SMALL AND LARGE INTESTINE WITHOUT PERFORATION OR ABSCESS WITH BLEEDING
E7409,E74.09,2.0,OTHER GLYCOGEN STORAGE DISEASE
E8493,E849.3,1.0,ACCIDENTS OCCURRING IN INDUSTRIAL PLACES AND PREMISES
E9053,E905.3,1.0,"STING OF HORNETS, WASPS, AND BEES CAUSING POISONING AND TOXIC REACTIONS"
Z4824,Z48.24,2.0,ENCOUNTER FOR AFTERCARE FOLLOWING LUNG TRANSPLANT
Z8512,Z85.12,2.0,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF TRACHEA
S93312A,S93.312A,2.0,"SUBLUXATION OF TARSAL JOINT OF LEFT FOOT, INITIAL ENCOUNTER"
S96921D,S96.921D,2.0,"LACERATION OF UNSPECIFIED MUSCLE AND TENDON AT ANKLE AND FOOT LEVEL, RIGHT FOOT, SUBSEQUENT ENCOUNTER"
S98121A,S98.121A,2.0,"PARTIAL TRAUMATIC AMPUTATION OF RIGHT GREAT TOE, INITIAL ENCOUNTER"
S2220XA,S22.20XA,2.0,"UNSPECIFIED FRACTURE OF STERNUM, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S2691XA,S26.91XA,2.0,"CONTUSION OF HEART, UNSPECIFIED WITH OR WITHOUT HEMOPERICARDIUM, INITIAL ENCOUNTER"
